Imagem,Percentual,Classificador,Altura_imagem,Largura_imagem
171,0.618095238095238,KNeighborsClassifier,805,1024
172,0.6060606060606061,GradientBoostingClassifier,681,1024
173,0.6880116959064329,QuadraticDiscriminantAnalysis,768,1024
174,0.6746753246753247,SVC,685,1024
175,0.6146153846153846,GaussianNB,1024,791
176,0.6249999999999999,AdaBoostClassifier,589,1024
177,0.6577075098814229,LogisticRegression,768,1024
178,0.636578947368421,BaggingClassifier,1024,892
179,0.6493506493506492,HistGradientBoostingClassifier,796,1024
180,0.6031578947368421,BernoulliNB,598,1024
181,0.6989473684210528,SVC,732,1024
182,0.6473684210526316,LogisticRegressionCV,685,1024
183,0.6134199134199134,QuadraticDiscriminantAnalysis,680,1024
184,0.6268398268398268,SVC,1024,680
185,0.6815384615384614,SVC,768,1024
186,0.6572463768115941,QuadraticDiscriminantAnalysis,683,1024
187,0.6239130434782608,SVC,768,1024
188,0.7670995670995671,NuSVC,768,1024
189,0.6781578947368421,ExtraTreesClassifier,681,1024
190,0.6446640316205534,BaggingClassifier,768,1024
191,0.6359683794466402,ExtraTreesClassifier,768,1024
192,0.651185770750988,AdaBoostClassifier,768,1024
193,0.6317460317460317,SVC,768,1024
194,0.7028333333333334,GaussianNB,768,1024
195,0.7031620553359684,SVC,768,1024
196,0.7032307692307691,GaussianNB,683,1024
197,0.6192640692640692,GaussianNB,768,1024
198,0.6352380952380953,LinearDiscriminantAnalysis,768,1024
199,0.6731601731601731,SVC,768,1024
200,0.6873188405797102,GaussianNB,768,1024
201,0.6405263157894738,SVC,1024,768
202,0.5844155844155844,HistGradientBoostingClassifier,682,1024
203,0.6647058823529413,KNeighborsClassifier,1024,686
204,0.7063157894736842,GradientBoostingClassifier,1024,928
205,0.6592105263157896,HistGradientBoostingClassifier,1024,768
206,0.6359477124183006,QuadraticDiscriminantAnalysis,1024,683
207,0.6901960784313725,AdaBoostClassifier,696,1024
208,0.5888888888888889,ComplementNB,685,1024
209,0.6528947368421053,GradientBoostingClassifier,768,1024
210,0.7723684210526316,HistGradientBoostingClassifier,768,1024
211,0.6084967320261437,QuadraticDiscriminantAnalysis,768,1024
212,0.61875,HistGradientBoostingClassifier,768,1024
213,0.6092105263157894,ExtraTreeClassifier,768,1024
214,0.6178947368421052,KNeighborsClassifier,768,1024
215,0.7052631578947368,NuSVC,1024,768
216,0.6454545454545454,KNeighborsClassifier,768,1024
217,0.7391666666666666,RandomForestClassifier,838,1024
218,0.5964912280701753,HistGradientBoostingClassifier,616,1024
219,0.6660130718954249,KNeighborsClassifier,630,1024
220,0.5354166666666667,BernoulliNB,683,1024
221,0.7505847953216375,SVC,790,1024
222,0.6218421052631579,GaussianProcessClassifier,768,1024
223,0.6183982683982683,SVC,768,1024
224,0.6701581027667984,SVC,768,1024
225,0.6905263157894737,NuSVC,1024,723
226,0.6000000000000001,MLPClassifier,1024,768
227,0.7023391812865497,GaussianNB,1024,768
228,0.6642857142857143,ExtraTreesClassifier,768,1024
229,0.7273333333333333,GradientBoostingClassifier,768,1024
230,0.6273809523809524,SVC,768,1024
231,0.6994152046783626,KNeighborsClassifier,683,1024
232,0.7097402597402597,AdaBoostClassifier,768,1024
233,0.6865789473684211,NuSVC,853,1024
234,0.731904761904762,SVC,766,1024
235,0.6973809523809523,KNeighborsClassifier,685,1024
236,0.7359477124183007,BaggingClassifier,685,1024
237,0.6288095238095238,BernoulliNB,685,1024
238,0.6305194805194805,SVC,768,1024
239,0.7666666666666666,NuSVC,925,1024
240,0.7366666666666667,AdaBoostClassifier,701,1024
241,0.6459558823529411,LogisticRegression,1024,768
242,0.6418300653594772,GaussianNB,683,1024
243,0.6836257309941521,SVC,721,1024
244,0.7935672514619883,NuSVC,768,1024
245,0.7535947712418299,SVC,681,1024
246,0.7175,ExtraTreesClassifier,771,1024
247,0.6785714285714286,GradientBoostingClassifier,1024,768
248,0.7973856209150326,RandomForestClassifier,685,1024
249,0.75,SVC,683,1024
250,0.6231601731601731,ExtraTreeClassifier,576,1024
251,0.734963768115942,SVC,576,1024
252,0.7238562091503267,NuSVC,682,1024
253,0.6681818181818182,QuadraticDiscriminantAnalysis,768,1024
254,0.8037500000000002,KNeighborsClassifier,768,1024
255,0.7654411764705882,HistGradientBoostingClassifier,1024,678
256,0.7163398692810458,QuadraticDiscriminantAnalysis,1024,768
257,0.6745098039215686,QuadraticDiscriminantAnalysis,1024,768
258,0.6857142857142857,SVC,768,1024
259,0.6611111111111112,LogisticRegressionCV,768,1024
260,0.7320261437908496,NuSVC,1024,768
261,0.6625730994152048,QuadraticDiscriminantAnalysis,768,1024
262,0.6266666666666667,AdaBoostClassifier,768,1024
263,0.5705882352941176,SVC,685,1024
264,0.6257246376811594,LinearDiscriminantAnalysis,768,1024
265,0.7331521739130435,LogisticRegression,768,1024
266,0.7073809523809523,ExtraTreesClassifier,1024,683
267,0.8480392156862747,NuSVC,681,1024
268,0.7453216374269006,QuadraticDiscriminantAnalysis,768,1024
269,0.6486928104575164,NuSVC,1024,768
270,0.6719047619047619,ExtraTreesClassifier,768,1024
271,0.7295238095238095,GradientBoostingClassifier,768,1024
272,0.7083333333333333,LabelPropagation,1024,768
273,0.7423684210526316,NuSVC,768,1024
274,0.6426877470355732,GaussianNB,768,1024
275,0.6226190476190476,LabelPropagation,1024,768
276,0.6787878787878788,BernoulliNB,1024,768
277,0.6757894736842106,AdaBoostClassifier,768,1024
278,0.7661904761904763,HistGradientBoostingClassifier,768,1024
279,0.689766081871345,LogisticRegressionCV,768,1024
280,0.7023809523809524,KNeighborsClassifier,768,1024
281,0.6571428571428573,KNeighborsClassifier,768,1024
282,0.5827485380116959,HistGradientBoostingClassifier,1024,719
283,0.6545000000000001,KNeighborsClassifier,768,1024
284,0.6470355731225296,QuadraticDiscriminantAnalysis,768,1024
285,0.5827205882352942,BernoulliNB,1024,768
286,0.6766666666666666,HistGradientBoostingClassifier,1024,957
287,0.597953216374269,KNeighborsClassifier,576,1024
288,0.605072463768116,HistGradientBoostingClassifier,1024,768
289,0.6777777777777778,BaggingClassifier,768,1024
290,0.6618421052631579,KNeighborsClassifier,683,1024
291,0.6474264705882352,HistGradientBoostingClassifier,768,1024
292,0.7184210526315788,BaggingClassifier,768,1024
293,0.6013071895424836,QuadraticDiscriminantAnalysis,683,1024
294,0.6321637426900584,AdaBoostClassifier,768,1024
295,0.6212418300653594,BernoulliNB,727,1024
296,0.685,NuSVC,768,1024
297,0.8010769230769231,KNeighborsClassifier,768,1024
298,0.6023684210526317,SVC,768,1024
299,0.580952380952381,SVC,768,1024
300,0.6073809523809524,GaussianNB,768,1024
